编号,状态,问政问题,响应时间,问政时间,链接
308686,待处理,东莞职业技术学院形式主义封校,等待处理：26天13小时8分,2021-11-03 09:13:49,/political/politics/index?id=529724
308689,已受理,常平苏坑广汇市场管理服务公司不退租房押金1380元,等待回复：27天1小时28分,2021-11-03 08:55:26,/political/politics/index?id=529722
308794,待处理,大朗服装厂排废气,等待处理：27天13小时8分,2021-11-04 10:09:49,/political/politics/index?id=529866
308741,已受理,开眼镜店（个体户）需要哪些资料和技能证书？,等待回复：27天23小时7分,2021-11-03 15:59:18,/political/politics/index?id=529787
308776,待处理,大朗碧桂园万象松湖22栋23栋对面的半夜商铺噪音,等待处理：27天13小时8分,2021-11-04 02:01:49,/political/politics/index?id=529837
308767,待处理,对于《中华人民共和国土地管理法实施条例》中部分条例理解不清，请具体结实,等待处理：27天13小时8分,2021-11-03 18:34:27,/political/politics/index?id=529812
308703,待处理,请问城管对那些用电动车，摩托车，三轮车霸占停车位，给自己停车的行为是否不管？？是否不在城管管理范围？,等待处理：26天13小时8分,2021-11-03 10:51:25,/political/politics/index?id=529743
308696,待处理,人行绿灯时间太短，老人容易急得摔跤,等待处理：26天13小时8分,2021-11-03 08:40:13,/political/politics/index?id=529721
308792,待处理,高雄路靠近阿里山路交叉口附近路面问题,等待处理：27天13小时8分,2021-11-04 09:56:04,/political/politics/index?id=529863
308742,已受理,房控管理乱价乱市,等待回复：27天7小时4分,2021-11-03 15:57:32,/political/politics/index?id=529786
308744,已受理,房款已付清，开发商不开发票,等待回复：27天22小时9分,2021-11-03 15:53:13,/political/politics/index?id=529785
308777,待处理,快递是如何定价的？,等待处理：27天13小时8分,2021-11-04 01:26:12,/political/politics/index?id=529836
308778,待处理,南城夜宵铺长期深夜扰民，居民无法入眠！,等待处理：27天13小时8分,2021-11-04 00:54:33,/political/politics/index?id=529835
308770,已受理,违规经营流失了多少国家税收,等待回复：27天22小时10分,2021-11-03 18:12:04,/political/politics/index?id=529811
308709,待处理,投诉浦发银行信用卡万用金分期利率,等待处理：26天13小时8分,2021-11-03 14:34:34,/political/politics/index?id=529766
308704,待处理,107国道改扩建施工中不能根据实际情况给居益公馆小区出口预留出口？,等待处理：26天13小时8分,2021-11-03 10:37:00,/political/politics/index?id=529742
308668,已受理,工作时长过多（12个小时）,等待回复：27天5小时41分,2021-11-03 08:25:14,/political/politics/index?id=529717
308636,已受理,谢岗镇荣兴街20号荣记美食大排档噪音扰民,等待回复：26天22小时17分,2021-11-03 00:24:08,/political/politics/index?id=529703
308790,待处理,戙船澳新街店铺每天霸占车位,等待处理：27天13小时8分,2021-11-04 09:43:50,/political/politics/index?id=529862
308733,已受理,樟木头天和百货售卖发霉食品,等待回复：27天22小时58分,2021-11-03 15:45:17,/political/politics/index?id=529783
308641,已受理,校运会举办安排,等待回复：26天23小时6分,2021-11-02 18:00:53,/political/politics/index?id=529675
308781,待处理,门口违规建筑,等待处理：27天13小时8分,2021-11-03 23:45:45,/political/politics/index?id=529832
308618,已受理,关于人才引进补贴,等待回复：26天5小时19分,2021-11-02 14:56:24,/political/politics/index?id=529642
308771,待处理,大岭山领居A区电信垄断宽带业务,等待处理：27天13小时8分,2021-11-03 18:11:51,/political/politics/index?id=529810
308710,待处理,韵达快递公司对消费者权益极度不负责任,等待处理：26天13小时8分,2021-11-03 14:34:24,/political/politics/index?id=529765
308690,待处理,厚街体育公园路口红绿灯设定时间不合理,等待处理：26天13小时8分,2021-11-03 10:20:55,/political/politics/index?id=529739
308669,已受理,管理不到位 懒政不作为,等待回复：27天3小时59分,2021-11-03 08:23:27,/political/politics/index?id=529716
308654,已受理,大岭山镇元岭村菜市场脏乱差卫生堪忧,等待回复：26天23小时59分,2021-11-02 23:53:47,/political/politics/index?id=529701
308795,待处理,寮步高铁站的规划咨询,等待处理：27天13小时8分,2021-11-04 09:43:08,/political/politics/index?id=529861
308725,已受理,防止东莞房地产大落,等待回复：27天6小时8分,2021-11-03 15:39:40,/political/politics/index?id=529782
308642,已受理,大朗行政服务中心与东方银座中间的天桥质量卫生问题,等待回复：26天22小时28分,2021-11-02 17:56:45,/political/politics/index?id=529674
308757,已受理,常平文化广场管理不作为,等待回复：27天22小时42分,2021-11-03 22:12:56,/political/politics/index?id=529828
308619,待处理,塘厦奥园观澜誉峰别墅区违建,等待处理：25天13小时8分,2021-11-02 14:52:24,/political/politics/index?id=529641
308773,待处理,企石恒大悦龙台一直不退定金,等待处理：27天13小时8分,2021-11-03 18:01:24,/political/politics/index?id=529808
308724,已受理,凤岗天保花园淹水需要恢复挡水坡设施,等待回复：27天4小时57分,2021-11-03 14:30:12,/political/politics/index?id=529764
308691,待处理,请问个人想安装光伏发电，利用楼顶空间，请问贵局有啥及格的施工企业名单？,等待处理：26天13小时8分,2021-11-03 10:02:21,/political/politics/index?id=529738
308639,已受理,森林湖兰溪谷14-1-1303长期投毒,等待回复：26天22小时14分,2021-11-03 08:15:22,/political/politics/index?id=529715
308656,已受理,危险上路,等待回复：27天0小时57分,2021-11-02 23:10:37,/political/politics/index?id=529699
308803,待处理,适龄儿童入读民办幼儿园补贴事宜,等待处理：27天13小时8分,2021-11-04 09:42:56,/political/politics/index?id=529860
308726,已受理,请东莞市交通运输局解疑,等待回复：27天5小时34分,2021-11-03 15:39:03,/political/politics/index?id=529781
308633,待处理,占用道路,等待处理：25天13小时8分,2021-11-02 17:12:39,/political/politics/index?id=529672
308768,待处理,标都没投，就敢开始施工，在法庭上还嚣张的让举报,等待处理：27天13小时8分,2021-11-03 21:54:10,/political/politics/index?id=529826
308620,待处理,占到经营霸占车位,等待处理：25天13小时8分,2021-11-02 14:31:23,/political/politics/index?id=529639
308774,已受理,请问位于松山湖光大W谷的瑞思英语培训机构的性质,等待回复：27天22小时37分,2021-11-03 17:58:36,/political/politics/index?id=529806
308727,待处理,长安镇OPPO新研发工地非施工时间扰民,等待处理：26天13小时8分,2021-11-03 14:26:58,/political/politics/index?id=529763
308692,已受理,麻涌镇麻涌大桥桥底长期不断漏水,等待回复：27天5小时18分,2021-11-03 09:57:46,/political/politics/index?id=529737
308665,已受理,收费就不贴标，不收费就贴标！！！,等待回复：27天0小时53分,2021-11-03 08:10:29,/political/politics/index?id=529714
308672,已受理,寮步镇金地领峯楼盘销售不实宣传，误导消费者！,等待回复：27天0小时20分,2021-11-02 22:53:45,/political/politics/index?id=529697
308799,待处理,番莞高速桥头段什么时候能开通？,等待处理：27天13小时8分,2021-11-04 09:28:51,/political/politics/index?id=529856
308719,待处理,汽修厂长期占用行人道，严重影响群众出行,等待处理：26天13小时8分,2021-11-03 15:31:22,/political/politics/index?id=529779
308635,已受理,寮步镇蟠龙路东大家具前下水道井盖安装不规范，导致噪音扰民,等待回复：26天22小时16分,2021-11-02 17:07:05,/political/politics/index?id=529670
308769,待处理,平衡车是否可以带上公交车？,等待处理：27天13小时8分,2021-11-03 21:38:54,/political/politics/index?id=529825
308604,待处理,莞番高速黄泥塘收费站,等待处理：25天13小时8分,2021-11-02 14:08:08,/political/politics/index?id=529637
308775,待处理,“围村收费”的最新情况,等待处理：27天13小时8分,2021-11-03 17:37:18,/political/politics/index?id=529804
308728,待处理,东江大道河岸卫生,等待处理：26天13小时8分,2021-11-03 14:13:21,/political/politics/index?id=529762
308694,已受理,横沥镇神山桥附近路段整条马路碎石粒阻挡非机动车通行，一不小心打滑就会翻车,等待回复：27天3小时57分,2021-11-03 09:50:57,/political/politics/index?id=529735
308663,已受理,东莞通账户冻结如何解冻？,等待回复：27天3小时14分,2021-11-03 08:10:06,/political/politics/index?id=529713
