编号,状态,问政问题,响应时间,问政时间,链接
308863,待处理,厚诚物业强拆大朗五福购物中心停车场道闸,等待处理：27天7小时48分,2021-11-04 15:33:35,https://wz.sun0769.com/political/politics/index?id=529920
308862,待处理,南城区建设路万科翡翠东望小区外围绿地变遛狗场,等待处理：27天7小时48分,2021-11-04 15:23:05,https://wz.sun0769.com/political/politics/index?id=529919
308839,待处理,蔡白湿地公园成“湿地”,等待处理：27天7小时49分,2021-11-04 13:13:17,https://wz.sun0769.com/political/politics/index?id=529898
308861,待处理,深圳最近出文一个文件把某些项目闲置的办公或者商业性质的,等待处理：27天7小时48分,2021-11-04 15:19:21,https://wz.sun0769.com/political/politics/index?id=529918
308840,待处理,车辆挡道 谁是治理者？,等待处理：27天7小时49分,2021-11-04 13:12:43,https://wz.sun0769.com/political/politics/index?id=529897
308823,待处理,竟成狗拉屎拉尿的地方？？,等待处理：27天7小时48分,2021-11-04 11:15:05,https://wz.sun0769.com/political/politics/index?id=529876
308691,待处理,请问个人想安装光伏发电，利用楼顶空间，请问贵局有啥及格的施工企业名单？,等待处理：26天7小时49分,2021-11-03 10:02:21,https://wz.sun0769.com/political/politics/index?id=529738
308854,已受理,投诉南开学校附近工地午休时间施工，严重影响师生正常作息,等待回复：27天23小时2分,2021-11-04 15:03:19,https://wz.sun0769.com/political/politics/index?id=529916
308841,待处理,凯景酒店欺骗消费者,等待处理：27天7小时49分,2021-11-04 13:10:44,https://wz.sun0769.com/political/politics/index?id=529896
308842,待处理,投诉平安保险咨询有争议,等待处理：27天7小时49分,2021-11-04 13:07:46,https://wz.sun0769.com/political/politics/index?id=529895
308820,待处理,洋坑塘新围路荔枝园臭气熏天,等待处理：27天7小时48分,2021-11-04 11:03:29,https://wz.sun0769.com/political/politics/index?id=529875
308692,已受理,麻涌镇麻涌大桥桥底长期不断漏水,等待回复：26天23小时58分,2021-11-03 09:57:46,https://wz.sun0769.com/political/politics/index?id=529737
308789,已受理,关于南城新基社区广东省金盾服装厂排放废气的投诉,等待回复：27天17小时51分,2021-11-04 09:19:37,https://wz.sun0769.com/political/politics/index?id=529854
308668,已受理,工作时长过多（12个小时）,等待回复：27天0小时20分,2021-11-03 08:25:14,https://wz.sun0769.com/political/politics/index?id=529717
308855,待处理,修复村道,等待处理：27天7小时48分,2021-11-04 15:02:17,https://wz.sun0769.com/political/politics/index?id=529915
308843,待处理,投诉长安镇沙头派出所办案不作为,等待处理：27天7小时49分,2021-11-04 12:59:10,https://wz.sun0769.com/political/politics/index?id=529894
